bridge_tag,questions,construct,crosswalk_status,primary_outcome,secondary_outcome,outcome_confidence,ambiguity,gated_only,reason
"BEHAVIORAL_REGULATION",40,"",REVIEW_REQUIRED,"decision_quality","confidence_stability",0.2,0.5,false,"REVIEW candidates → 3 model(s); primary decision_quality"
"BEHAVIORAL_STABILITY",50,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"BEHAVIOR_CORRECTION",39,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"CAPABILITY_DEVELOPMENT",25,"SKILL_AWARENESS",HIGH_CONFIDENCE,"employability_readiness","career_clarity",0.425,0.5,false,"HIGH construct SKILL_AWARENESS → 2 model(s); primary employability_readiness"
"CAREER_ACADEMIC",40,"",REVIEW_REQUIRED,"career_clarity","learning_effectiveness",0.25,0.5,false,"REVIEW candidates → 2 model(s); primary career_clarity"
"CAREER_ALIGNMENT",50,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_AUTONOMY",25,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_BRANDING",36,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_COMPETITION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_DECISION",40,"",REVIEW_REQUIRED,"career_clarity","learning_effectiveness",0.167,0.667,false,"REVIEW candidates → 3 model(s); primary career_clarity"
"CAREER_DEVELOPMENT",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_ECOSYSTEM",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_EXECUTION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_EXPECTATIONS",200,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_EXPLORATION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_EXPOSURE",50,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_FLEXIBILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_GROWTH",675,"CAREER_GROWTH",HIGH_CONFIDENCE,"career_clarity","",0.95,0,false,"HIGH construct CAREER_GROWTH → 1 model(s); primary career_clarity"
"CAREER_GUIDANCE",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_IDENTITY",75,"",REVIEW_REQUIRED,"career_clarity","confidence_stability",0.25,0.5,false,"REVIEW candidates → 2 model(s); primary career_clarity"
"CAREER_MAPPING",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_PLANNING",25,"",REVIEW_REQUIRED,"career_clarity","learning_effectiveness",0.167,0.667,false,"REVIEW candidates → 3 model(s); primary career_clarity"
"CAREER_PREPAREDNESS",25,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_PRIORITIZATION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_PSYCHOLOGY",125,"",REVIEW_REQUIRED,"holistic_wellbeing","career_clarity",0.167,0.667,false,"REVIEW candidates → 3 model(s); primary holistic_wellbeing"
"CAREER_READINESS",1000,"CAREER_READINESS",HIGH_CONFIDENCE,"employability_readiness","career_clarity",0.475,0.5,false,"HIGH construct CAREER_READINESS → 2 model(s); primary employability_readiness"
"CAREER_RECOVERY",40,"",REVIEW_REQUIRED,"career_clarity","confidence_stability",0.25,0.5,false,"REVIEW candidates → 2 model(s); primary career_clarity"
"CAREER_REFLECTION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_RISK",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_STABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_SUITABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
