family_name,concern_count,primary_concern_ids
Workplace Family 3,7,CONCERN_COM_430|CONCERN_COM_563|CONCERN_LEA_743|CONCERN_MOT_710|CONCERN_MOT_746|CONCERN_STR_687|CONCERN_WOR_416
Concepts Family,6,CONCERN_ACA_1649|CONCERN_ACA_1699|CONCERN_ANA_1720|CONCERN_EXA_2015|CONCERN_LEA_2096|CONCERN_THI_1952
Analytical Family,6,CONCERN_ACA_1651|CONCERN_EXA_2137|CONCERN_THI_1934|CONCERN_THI_2348|CONCERN_COL_28|CONCERN_CON_164
Asking Family,6,CONCERN_ACA_1863|CONCERN_COM_1940|CONCERN_CON_1653|CONCERN_MOT_1442|CONCERN_ADJ_404|CONCERN_EMO_668
Style Family,6,CONCERN_EMO_294|CONCERN_CAR_1587|CONCERN_EMO_1531|CONCERN_EXP_1604|CONCERN_INT_1642|CONCERN_SOC_194
Emotional Family 6,6,CONCERN_DIS_727|CONCERN_COM_1003|CONCERN_CAR_593|CONCERN_EMP_1071|CONCERN_SOC_1119|CONCERN_STR_1133
Leadership Family 6,6,CONCERN_CON_1200|CONCERN_HOL_1260|CONCERN_CON_960|CONCERN_EMO_820|CONCERN_LIF_660|CONCERN_WOR_900
Identity Family,6,CONCERN_EMO_457|CONCERN_WOR_748|CONCERN_EXA_2307|CONCERN_CON_80|CONCERN_EXA_2080|CONCERN_LIF_2422
Learning Family 8,6,CONCERN_STR_353|CONCERN_THI_1223|CONCERN_THI_2017|CONCERN_HOL_1161|CONCERN_EMO_1216|CONCERN_MOT_1256
Future Family,5,CONCERN_ACA_1194|CONCERN_EMO_1341|CONCERN_INT_1312|CONCERN_LEA_1237|CONCERN_TAL_1172
Attention Family,5,CONCERN_ADA_1274|CONCERN_ACA_1685|CONCERN_ACA_1697|CONCERN_ADJ_1868|CONCERN_DIS_2263
Following Family,5,CONCERN_ACA_1705|CONCERN_ACA_1938|CONCERN_COM_2485|CONCERN_CON_1997|CONCERN_SEL_1676
Academic Family 2,5,CONCERN_ACA_1974|CONCERN_MOT_1992|CONCERN_MOT_2480|CONCERN_ACA_2424|CONCERN_EXA_2258
Accuracy Family,5,CONCERN_ACA_1998|CONCERN_ACA_2021|CONCERN_CLA_2486|CONCERN_DIS_2288|CONCERN_MOT_102
Thinking Family,5,CONCERN_ACA_2185|CONCERN_ACA_2469|CONCERN_CLA_2165|CONCERN_CON_1981|CONCERN_THI_2022
Performance Family,5,CONCERN_ACA_2245|CONCERN_ACA_2341|CONCERN_DIS_1662|CONCERN_EXA_2061|CONCERN_LEA_1358
Failures Family,5,CONCERN_ACA_289|CONCERN_CAR_1576|CONCERN_COL_847|CONCERN_CAR_479|CONCERN_MOT_2395
Leadership Family 3,5,CONCERN_LEA_859|CONCERN_SOC_1846|CONCERN_CAR_39|CONCERN_LEA_959|CONCERN_LIF_757
Peers Family,5,CONCERN_CAR_697|CONCERN_COM_491|CONCERN_LEA_1445|CONCERN_PER_1432|CONCERN_LIF_1775
Industry Family,5,CONCERN_MOT_13|CONCERN_EMO_274|CONCERN_LIF_372|CONCERN_COM_1320|CONCERN_CON_972
Distress Family,5,CONCERN_CON_173|CONCERN_HOL_1181|CONCERN_MOT_2172|CONCERN_OVE_2316|CONCERN_THI_1235
Sustain Family,5,CONCERN_EMO_556|CONCERN_LEA_2285|CONCERN_SOC_856|CONCERN_STE_2219|CONCERN_WOR_1152
Classroom Family,4,CONCERN_ACA_1174|CONCERN_ACA_1264|CONCERN_DIS_2190|CONCERN_EXA_2153
Learning Family,4,CONCERN_ACA_1178|CONCERN_ACA_1262|CONCERN_EMO_1248|CONCERN_ACA_1282
Interest Family,4,CONCERN_HOL_2177|CONCERN_ACA_1913|CONCERN_LIF_1792|CONCERN_STU_1353
Independent Family,4,CONCERN_ACA_1959|CONCERN_ACA_2444|CONCERN_FOU_1797|CONCERN_EMO_1222
Application Family,4,CONCERN_ACA_2202|CONCERN_EXA_2173|CONCERN_SEL_2150|CONCERN_STE_1729
Future Family 2,4,CONCERN_CAR_217|CONCERN_CAR_253|CONCERN_EMP_89|CONCERN_ACA_2331
Workplace Family,4,CONCERN_ACA_730|CONCERN_COM_1128|CONCERN_EMO_683|CONCERN_WOR_1082
Emotional Family 3,4,CONCERN_DIS_1780|CONCERN_EXA_2357|CONCERN_ADJ_2372|CONCERN_PER_1414
Emotional Family 4,4,CONCERN_PER_1623|CONCERN_BEH_1449|CONCERN_CAR_78|CONCERN_DIS_126
Resilience Family,4,CONCERN_CAR_1397|CONCERN_PER_1411|CONCERN_PER_1549|CONCERN_SOC_1515
Workplace Family 2,4,CONCERN_LEA_604|CONCERN_LIF_569|CONCERN_CAR_713|CONCERN_LEA_647
Despite Family,4,CONCERN_COG_1532|CONCERN_IDE_1500|CONCERN_SEL_1595|CONCERN_SEL_1620
Growth Family,4,CONCERN_COL_780|CONCERN_EMO_880|CONCERN_EMO_920|CONCERN_CON_860
Emotional Family 8,4,CONCERN_EXA_1372|CONCERN_MOT_1870|CONCERN_COM_1257|CONCERN_COM_355
Study Family,4,CONCERN_EXA_111|CONCERN_COM_1977|CONCERN_LEA_1704|CONCERN_THI_1714
Adaptability Family 2,4,CONCERN_COM_2295|CONCERN_EXA_2256|CONCERN_FAC_1250|CONCERN_DIS_2460
Critical Family,4,CONCERN_MOT_1681|CONCERN_COM_303|CONCERN_COM_46|CONCERN_EMO_1196
Public Family,4,CONCERN_CON_1799|CONCERN_LEA_1455|CONCERN_LIF_1751|CONCERN_STE_2281
Wellbeing Family,4,CONCERN_LEA_877|CONCERN_STR_791|CONCERN_CON_452|CONCERN_SEL_1548
Constant Family,4,CONCERN_CON_597|CONCERN_LEA_1149|CONCERN_STR_831|CONCERN_THI_1099
Emotional Family 10,4,CONCERN_FOU_2136|CONCERN_SOC_1746|CONCERN_DIS_1055|CONCERN_HOL_1021
Emotional Family 12,4,CONCERN_EMP_615|CONCERN_EXA_2361|CONCERN_LEA_1135|CONCERN_EXA_150
Identity Family 2,4,CONCERN_LEA_875|CONCERN_LIF_646|CONCERN_MOT_1030|CONCERN_STR_800
Strategic Family,3,CONCERN_ACA_1086|CONCERN_LIF_606|CONCERN_CON_776
Subjects Family,3,CONCERN_ACA_109|CONCERN_COM_1684|CONCERN_EXA_1972
Environments Family,3,CONCERN_LIF_305|CONCERN_LEA_1602|CONCERN_ACA_1269
Interests Family,3,CONCERN_ACA_1581|CONCERN_EMP_245|CONCERN_CAR_230
Preparation Family,3,CONCERN_ADJ_156|CONCERN_ACA_175|CONCERN_STU_1415
Progress Family,3,CONCERN_ACA_191|CONCERN_LEA_1643|CONCERN_STR_977
Conceptual Family 2,3,CONCERN_ACA_1932|CONCERN_SEL_1597|CONCERN_LEA_1263
Leadership Family,3,CONCERN_ACA_1967|CONCERN_EMO_512|CONCERN_EMO_740
Writing Family,3,CONCERN_DIS_2194|CONCERN_MOT_2181|CONCERN_ACA_2014
Reasoning Family,3,CONCERN_ACA_2192|CONCERN_EXA_2283|CONCERN_COM_2075
Information Family,3,CONCERN_ACA_2210|CONCERN_DIS_1994|CONCERN_DIS_2482
Academic Family 5,3,CONCERN_MOT_1986|CONCERN_MOT_2474|CONCERN_ACA_2311
Career Family 6,3,CONCERN_ACA_357|CONCERN_ACA_458|CONCERN_CON_1084
Networking Family,3,CONCERN_ACA_752|CONCERN_CAR_96|CONCERN_LEA_1096
Academics Family,3,CONCERN_ADA_1420|CONCERN_DIS_4|CONCERN_GRO_1453
Difficult Family,3,CONCERN_ADA_1444|CONCERN_GRO_1425|CONCERN_MOT_2397
Accountability Family,3,CONCERN_ADA_1479|CONCERN_CON_1208|CONCERN_MOT_1308
Peer Family,3,CONCERN_ADJ_1848|CONCERN_CAR_71|CONCERN_LEA_1087
Learning Family 5,3,CONCERN_ADJ_1991|CONCERN_COL_2148|CONCERN_HOL_2479
Integration Family,3,CONCERN_ADJ_2216|CONCERN_EXA_2157|CONCERN_EXA_2112
Standards Family,3,CONCERN_ADJ_428|CONCERN_MOT_408|CONCERN_EMO_708
Interviews Family,3,CONCERN_EMP_409|CONCERN_SEL_333|CONCERN_ADJ_484
Cognitive Family,3,CONCERN_CAR_1085|CONCERN_EMP_1173|CONCERN_CAR_729
Motivation Family,3,CONCERN_CAR_437|CONCERN_LEA_709|CONCERN_SOC_1097
Communication Family 2,3,CONCERN_CAR_502|CONCERN_EMO_1066|CONCERN_STR_766
Corporate Family,3,CONCERN_CAR_55|CONCERN_HOL_661|CONCERN_SOC_391
Performance Family 2,3,CONCERN_CAR_576|CONCERN_COM_383|CONCERN_COM_707
Leadership Family 4,3,CONCERN_COL_1075|CONCERN_COL_887|CONCERN_HOL_721
Executive Family,3,CONCERN_EMO_552|CONCERN_COL_572|CONCERN_STR_862
Responsibilities Family,3,CONCERN_COL_610|CONCERN_COM_587|CONCERN_LIF_1078
Leadership Family 5,3,CONCERN_COM_809|CONCERN_COL_768|CONCERN_WOR_1072
Psychological Family,3,CONCERN_COM_1239|CONCERN_LIF_654|CONCERN_STR_826
Hidden Family 2,3,CONCERN_EMO_1537|CONCERN_COM_1335|CONCERN_INQ_1171
Comprehension Family,3,CONCERN_SUB_1360|CONCERN_COM_1656|CONCERN_MOT_1947
Classroom Family 2,3,CONCERN_EXA_2269|CONCERN_COM_1976|CONCERN_THI_1691
Cognitive Family 2,3,CONCERN_MOT_2223|CONCERN_COM_2095|CONCERN_MOT_2155
Correction Family,3,CONCERN_EXA_2226|CONCERN_COM_2299|CONCERN_EXA_2018
Feedback Family,3,CONCERN_SEL_1464|CONCERN_COM_282|CONCERN_CON_1693
Consistency Family,3,CONCERN_COM_35|CONCERN_MOT_301|CONCERN_SKI_262
Expectations Family 3,3,CONCERN_COM_644|CONCERN_EMO_928|CONCERN_MOT_1146
Making Family,3,CONCERN_CON_1818|CONCERN_OVE_2318|CONCERN_STE_2233
Academic Family 12,3,CONCERN_LEA_2134|CONCERN_CON_2467|CONCERN_ENG_1466
Environments Family 2,3,CONCERN_CON_339|CONCERN_CON_422|CONCERN_CON_672
Career Family 15,3,CONCERN_CON_592|CONCERN_EMP_31|CONCERN_EXA_206
Consistent Family 2,3,CONCERN_CON_698|CONCERN_EMP_21|CONCERN_EMP_61
Academic Family 14,3,CONCERN_MOT_2214|CONCERN_DIS_2010|CONCERN_DIS_2405
Concept Family,3,CONCERN_DIS_2252|CONCERN_MOT_130|CONCERN_SEL_2036
Consistency Family 2,3,CONCERN_DIS_2406|CONCERN_EXA_104|CONCERN_SEL_2019
Professional Family 2,3,CONCERN_EMO_1052|CONCERN_MOT_1070|CONCERN_SOC_658
Career Family 16,3,CONCERN_EMO_1345|CONCERN_IDE_1578|CONCERN_THI_226
Discussions Family,3,CONCERN_EMO_366|CONCERN_EXA_18|CONCERN_THI_2026
Salary Family,3,CONCERN_EMP_413|CONCERN_EMO_376|CONCERN_MOT_480
Board Family,3,CONCERN_EMO_896|CONCERN_LIF_808|CONCERN_STR_870
Academic Family 16,3,CONCERN_EXA_1831|CONCERN_EXA_2487|CONCERN_THI_1999
Attention Family 2,3,CONCERN_FOU_1766|CONCERN_GRO_1437|CONCERN_LEA_1936
Emotional Family 13,3,CONCERN_STR_813|CONCERN_WOR_1151|CONCERN_LEA_1123
Discipline Family 3,3,CONCERN_WOR_726|CONCERN_LEA_1330|CONCERN_THI_47
Emotionally Family 4,3,CONCERN_LEA_691|CONCERN_OWN_435|CONCERN_STR_611
Imposter Family,3,CONCERN_LEA_775|CONCERN_LIF_509|CONCERN_WOR_673
Emotional Family 15,3,CONCERN_LEA_947|CONCERN_STR_803|CONCERN_STR_873
Behavioral Family,3,CONCERN_SEL_1511|CONCERN_MOT_1625|CONCERN_PER_1533
