family_name,concern_count,primary_concern_ids
Emotional Family 14,2,CONCERN_LEA_2175|CONCERN_THI_2289
Full Family,2,CONCERN_LEA_595|CONCERN_WOR_455
Learning Family 9,2,CONCERN_LEA_942|CONCERN_THI_343
Focused Family,2,CONCERN_LIF_187|CONCERN_THI_277
Missing Family,2,CONCERN_LIF_1910|CONCERN_MOT_1855
Execution Family,2,CONCERN_MOT_360|CONCERN_LIF_320
Enterprise Family,2,CONCERN_LIF_908|CONCERN_STR_944
Boundaries Family 2,2,CONCERN_MOT_1874|CONCERN_SOC_2382
Consistency Family 3,2,CONCERN_THI_2262|CONCERN_MOT_1970
Ended Family,2,CONCERN_MOT_342|CONCERN_MOT_2041
Academic Family 17,2,CONCERN_THI_2055|CONCERN_MOT_2099
Stakes Family,2,CONCERN_MOT_816|CONCERN_WOR_562
Professional Family 4,2,CONCERN_MOT_990|CONCERN_SOC_1038
Academic Family 18,2,CONCERN_PSY_1462|CONCERN_SOC_2384
Adaptability Family 4,2,CONCERN_REF_1543|CONCERN_SOC_1299
Attendance Family,2,CONCERN_SEL_1984|CONCERN_SEL_2472
Assignments Family,2,CONCERN_STR_739|CONCERN_SOC_1083
Agility Family,2,CONCERN_STE_1724|CONCERN_THI_1935
Emotional Family 16,2,CONCERN_THI_165|CONCERN_THI_304
Motivation Family 3,2,CONCERN_WOR_1069|CONCERN_WOR_745
